Stock Number,Population Name,Species,ESU/DPS Name,Federal Status,Listing Date,Salmon Recovery Region,Recovery Plan,Recovery Plan Year,Recovery Goal,Hatchery Standards Met,Major Population Grouping,Population Goals,Goal References,Goal Notes,Population History,Stock Definition,Stock Data Description,Stock Spawning Distribution,Stock Genetic Analysis Description,Local Biologist Name,Local Biologist Email,Last Updated
1208,Skokomish Chinook,Chinook,Puget Sound Chinook,Threatened,03/24/1999 12:00:00 AM,Puget Sound,,,,,Skokomish River Chinook,"Natural EG = 1,650.  Upper mgmt threshold = 1,650 natural, 3,650 total.  Low abundance threshold = 1,300.  Rebuilding ER = 15% PT SUS, Critical ER ceiling = 12% PT SUS.",Ref 2,,The Skokomish chinook stock is a mixed stock with composite production. Chinook returning to the George Adams Hatchery or Endicott Ponds on the lower Skokomish River stray in substantial numbers onto Skokomish system natural spawning areas.,Skokomish chinook were identified as a stock in 2002 based on their distinct spawning distribution.,"Estimates of naturally spawning chinook are based on counts of live spawners and/or redds in the mainstem and North Fork Skokomish from RM 2.2 to 15.6, in upper 3 tenths of a mile of Hunter Creek, and in the South Fork Skokomish RM 0.0 to 5.5. Hatchery escapements are based on counts at the George Adams Hatchery rack on Purdy Creek, a lower Skokomish River tributary. The total escapement values for this stock are the sums of the natural and hatchery escapements.","Spawning takes place in the mainstem Skokomish, in the lower portions of the North and South forks of the Skokomish, and in Purdy, Vance and Hunter creeks. Hatchery spawning takes place at George Adams Hatchery.","Allozyme analysis results to date suggest that there is no significant genetic differentiation between Skokomish natural chinook spawners and George Adams Hatchery/Hoodsport Hatchery chinook. Extensive transfers of South Sound hatchery chinook to George Adams and Hood Canal hatcheries have taken place. However there appears to be some differentiation between Hood Canal-area chinook and South Sound chinook, indicating that some level of differentiation may be occurring in Hood Canal stocks following the cessation of transfers from South Sound hatcheries. Although allozyme allele frequency divergence is not evidence of local adaptation, it often signifies reproduction isolation. Local adaptations are more likely to be maintained in populations that are reproductively isolated (Marshall 2000).",Mark Downen,Mark.Downen@dfw.wa.gov,01/27/2015 11:18:02 AM
1240,Dungeness Chinook,Chinook,Puget Sound Chinook,Threatened,03/24/1999 12:00:00 AM,Puget Sound,,,,,Dungeness River Chinook,"Upper mgmt threshold = 925.  Low abundance threshold = 500.  Rebuilding ER = 10% SUS, Critical ER ceiling = 6% SUS.",Ref 2,,This is a native stock with composite production. A joint state-tribal hatchery-based supplementation program for Dungeness chinook began in 1992 and is carried out at the WDFW Dungeness and Hurd Creek hatcheries.,Dungeness chinook were identified as a stock based on their distinct spawning distribution and timing. Stock identification is supported by genetic analysis.,"Data are total escapement estimates expanded from redd counts from RM 0.0 to 18.7 in the Dungeness River and from RM 0.0 to 5.1 in the Gray Wolf River, an estimate of the number of adult Chinook that spawned naturally in the Dungeness and Gray Wolf rivers. Escapement estimate includes both NORs and HORs, and the number of adult Chinook collected by WDFW hatchery staff for supplementation program.",Most spawning takes place from the mouth to RM 18.9 in the mainstem Dungeness and the lower 6.1 miles of the Gray Wolf River.,"Allozyme analysis to examine family contributions to a state-tribal hatchery-based supplementation program for Dungeness has been conducted. No examination of the relationship between Dungeness chinook and other chinook stocks has been made (Anne Marshall, WDFW, personal communication).",Randy Cooper,Randy.Cooper@dfw.wa.gov,01/27/2015 11:18:02 AM
1595,Kalama Fall (Tule) Chinook,Chinook,Lower Columbia River Chinook,Threatened,03/24/1999 12:00:00 AM,Lower Columbia River,,,,,Cascade Fall-Run Chinook,"Recovery goal = 1,300 spawners.  Max. recovery exploitation rate=42%.  Interim natural EG=2,000 w/ interim min. EG between Modrow Weir and Kalama Falls Hatchery=450.  Hatchery broodstock goal=2,420.",Ref 1:Table 3;Ref 17;Ref 16,,"This is a mixed stock with composite production and is similar in life history to other tule fall chinook stocks in the lower Columbia. Hatchery fish, largely from the Kalama basin, have been released into the watershed since Fallert Creek Hatchery was completed in 1895. In 1959, Kalama Falls Hatchery went into production. Broodstock for both facilities has been taken from a temporary rack near Modrow Bridge. There have been relatively few introductions of out-of-basin chinook into the hatchery programs (Myers et al. 2002). The present annual release goal is 3.5 million sub-yearling chinook. Surplus hatchery fall chinook are released above the falls. It is probable that a significant number of natural spawners are hatchery strays.",Kalama fall chinook were identified as a stock based on their distinct spawning distribution.,"Data are total escapement estimates based on annual peak live plus dead spawner counts from Italian Creek (RM 10) downstream to the I-5 bridge (RM 1.3), a distance of 8.7 miles.","Most spawning takes place from the I-5 bridge upstream to Italian Bridge. Lower Kalama Falls (RM 10.5) is the natural limit to upstream migration. However, surplus hatchery fish are released above the falls.","No genetic analysis has been done on naturally spawning Kalama fall chinook.  Allozyme analysis of Kalama hatchery fall chinook sampled in 1988 and 1989 showed that they were genetically distinct from most other lower Columbia tule fall chinook but not significantly different from Abernathy Creek fall chinook (Myers et al. 2002). This result may reflect genetic drift in these two populations, which are otherwise dissimilar (Marshall et al. 1995).",Jeremy Wilson,Jeremy.Wilson@dfw.wa.gov,12/05/2014 05:04:19 PM
1381,Clearwater Fall Chinook,Chinook,Washington Coast Chinook,Not Warranted,03/09/1998 12:00:00 AM,Washington Coastal,,,,,No MPG Specified,"EG for both Queets basin fall stocks combined is 2,500 or 60% of runsize, whichever is greater.",Ref 4,,This is a native stock with wild production.,"Clearwater fall Chinook were identified as a stock based on their distinct spawning distribution, later river entry timing (September to late November), and spawning timing.","Data are total escapement estimates based on cumulative redd counts in index reaches and supplemental survey observations, expanded to basin total escapement estimates. Index areas surveyed include the mainstem Clearwater River (RM 0.5 to 2.7, RM 15.5 to 17.0 and RM 22.3 to 23.0), Hurst Creek (RM 0.0 to 1.4), Shale Creek (RM 0.0 to 2.0), West Fork Miller Creek (RM 0.0 to 1.0), East Fork Miller Creek (RM 0.0 to 0.5), Christmas Creek (RM 0.0 to 1.3), Peterson Creek (RM 0.0 to 0.3), Deception Creek (RM 0.0 to 0.5), Snahapish Creek (RM 0.0 to 1.6) and Bull Creek (RM 0.0 to 0.6) as well as the Stequaleho River (RM 0.0 to 1.8) and the Solleks River (RM 0.0 to 1.2).",Spawning takes place in the mainstem Clearwater River up to the confluence with the Sollecks River (RM 23.0) and in the lower portions of Miller and Christmas creeks and Sollecks River.,Genetic analysis has not been done on Clearwater fall Chinook.,David Low,David.Low@dfw.wa.gov,05/18/2010 12:00:00 AM
1392,Quinault Spring/Summer Chinook,Chinook,Washington Coast Chinook,Not Warranted,03/09/1998 12:00:00 AM,Washington Coastal,,,,,No MPG Specified,No goals established,,,"This is a native stock with wild production. There are early-returning hatchery Chinook in the basin that cannot be distinguished from the native stock, and there is some potential for hybridization between them.","Quinault spring/summer Chinook were identified as a stock based on their distinct spawning distribution, early river entry timing (early April to mid-August) and spawning timing.","Data are total escapement estimates based on redd counts within intensive and supplemental index areas expanded to basin-wide totals. Index areas surveyed include the Upper Quinault mainstem (RM 43.9 - 45.0) and the East Fork Quinault ( RM 48.0 - 52.6). Over 90% of the spawning habitat is surveyed by helicopter in mid. - late September. Coverage area includes the Lower Quinault mainstem (RM 4.3 - 33.0), Upper Quinault (RM 36.2 - 46.8), East Fork Quinault (RM 46.8 - 53.0), and North Fork Quinault (RM 0.0 - 7.5). Tributary coverage includes the lower reaches of both Graves and Big Creeks.",Most spawning takes place in the upper mainstem Quinault River from the Quinault Lake inlet (RM 36.2) upstream to Graves Creek (RM 52.6). Some spawning also occurs in the North Fork Quinault River (RM 0.0 to 7.5) and in the lower mainstem Quinault River (RM 16.0 to 33.0).,Genetic analysis has not been done on Quinault spring/summer Chinook.,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,10/06/2016 05:20:21 PM
1600,North Fork Lewis Spring Chinook,Chinook,Lower Columbia River Chinook,Threatened,03/24/1999 12:00:00 AM,Lower Columbia River,,,,,Cascade Spring-Run Chinook,"Recovery goal = 2,200 spawners.  Hatchery broodstock goal=800.",Ref 1:Table 3;Ref 17,,This is a mixed stock with composite production. The native component of the stock may have been extirpated or largely replaced by introduced hatchery stocks (Myers 2002).,Lewis spring chinook were identified as a stock based on their distinct spawning distribution and spawning timing.,Data are total escapement estimates based on annual peak live plus dead spawner counts from Merwin Dam (RM19.6) downstream to the Lewis River Hatchery (RM15.7).,"Historically Lewis River spring chinook spawned throughout the upper watershed, but with the construction of Merwin Dam at RM 19, the majority of the spawning grounds became inaccessible. Today, natural spawning is limited to the four-mile stretch immediately below Merwin Dam. A few chinook have also been observed spawning in the East Fork Lewis River.","Lewis spring chinook are genetically similar to, but distinct from, Kalama Hatchery and Cowlitz Hatchery spring chinook stocks and all other Columbia River spring chinook stocks (WDF and WDW 1993).",Lisa Harlan,Lisa.Harlan@dfw.wa.gov,12/05/2014 05:04:19 PM
1432,Chehalis Spring Chinook,Chinook,Washington Coast Chinook,Not Warranted,03/09/1998 12:00:00 AM,Washington Coastal,,,,,No MPG Specified,"EG=1,400",,"Stock-specific goal being re-examined, subject to change",This is a native stock with wild production. Cowlitz River (lower Columbia River basin) hatchery-origin spring Chinook were released into the Wynoochee River in the mid-1970s. It is unlikely that there was any significant hybridization with the existing native stock.,"Chehalis spring Chinook were identified as a stock based on their distinct spawning distribution, early river entry timing (begins in late January to early February) and spawning timing.","Data are total escapement estimates based on redd counts within intensive and supplemental index areas. Index areas surveyed include the mainstem Chehalis River (RM 33.3 to 42.1, RM 44.9 to 50.5, and RM 103.7 to 106.2), Black River (RM 4.2 to 8.6), Skookumchuck River (RM 6.4 to 10.9, RM 10.9 to 21.3--supplemental, and RM 21.3 to 21.9), Newaukum River (RM 9.8 to 18.5--supplemental, RM 18.5 to 20.8, RM 20.8 to 27.3--supplemental, and RM 27.3 to 30.3), North Fork Newaukum (RM 0.3 to 2.4--supplemental, RM 2.4 to 6.9, RM 6.9 to 7.9--supplemental, and RM 7.9 to 10.3), and the South Fork Chehalis (RM 3.0 to 4.3, and RM 4.3 to 5.1--supplemental). One helicopter flight is also included on the mainstem Chehalis River (RM 25.2 to 67.0 and RM 81.3 to 109.9), Black River (RM 0.0 to 8.6), Newaukum River (RM 0.0 to 10.8), and South Fork Chehalis River (RM 0.0 to 5.1). Surveyed tributaries include Stillman and Elk creeks.","Most spawning takes place in the Skookumchuck, Newaukum, South Fork Chehalis and the mainstem Chehalis rivers (RM 33.3 to 67.0 and RM 81.3 to 113.4). Some spawning occurs in the Black River and in Elk and Stillman creeks.","Allozyme analysis has shown Chehalis spring Chinook, represented by fish from the Skookumchuck River, to be genetically distinct from Chehalis fall Chinook (Marshall et al. 1995).",Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,12/08/2015 05:18:34 PM
1525,Mill/Abernathy/Germany Creeks Fall (Tule) Chinook,Chinook,Lower Columbia River Chinook,Threatened,03/24/1999 12:00:00 AM,Lower Columbia River,,,,,Coastal Fall-Run Chinook,"Recovery goal = 1,100 spawners.  Max. recovery exploitation rate=42%",Ref 1:Table 3;Ref 16,,"This is a mixed stock with composite production. Fall chinook that presently spawn in Mill Creek are a mixture of hatchery fish, and may include Abernathy Creek Salmon Culture Technology Center strays (Marshall 1995). Based on life history and timing, Mill.Abernathy/Germany Creeks chinook resemble mid-Columbia tule fall chinook stocks such as White Salmon River and Wind tule fall chinook more closely than neighboring lower Columbia tule fall stocks (Marshall 1995).  Abernathy Creek may not have supported a native fall chinook stock (Marshall et al. 1995). Fall chinook that presently spawn in Abernathy Creek are likely a mixture of hatchery-origin chinook (Marshall 1995). Germany Creek may not have supported a native fall chinook stock (Marshall et al. 1995). Fall chinook that presently spawn in Germany Creek are probably a mixture of hatchery-origin fish. .",Mill/Abernathy/Germany Creeks fall chinook were identified as a stock based on their distinct spawning distribution.,"Data are total escapement estimates based on annual peak fish counts from the Mill Creek road bridge downstream to the mouth, a distance of two miles, plus estimates based on annual peak live plus dead spawner counts from the U.S Fish and Wildlife Service Abernathy Creek Salmon Culture Technology Center downstream to the mouth of Abernathy Creek, a distance of three miles, plus total escapement estimates based on annual peak live plus dead spawner counts from RM 3.5 downstream to the mouth of Germany Creek.","Most spawning takes place from the mouth of Mill Creek upstream to Mill Creek Bridge at RM 2, from Abernathy Creek mouth upstream to the Abernathy Creek Salmon Culture Technology Center at RM 3, and from the Germany Creek mouth upstream to RM 3.5.","No genetic analysis has been done on Mill Creek fall chinook.  Allozyme allele frequencies from Abernathy Creek chinook spawners sampled in 1995, 1997, and 1998 were significantly different from other Columbia River chinook, except Kalama hatchery fall chinook (Myers et al. 2002). A sample of naturally produced smolts taken in 1995 was not similar to a sample of hatchery fish from the Abernathy Creek Salmon Culture Technology Center (Anne Marshall, WDFW, personal communication). This result may be due to genetic drift because Abernathy hatchery chinook have been found spawning in Abernathy Creek. The hatchery fish are derived largely from Spring Creek National Fish Hatchery chinook.  No genetic analysis has been done on Germany Creek fall chinook.",Jeremy Wilson,Jeremy.Wilson@dfw.wa.gov,12/05/2014 05:04:19 PM
1658,Big White Salmon River Spring Chinook,Chinook,Lower Columbia River Chinook,Threatened,03/24/1999 12:00:00 AM,Lower Columbia River,,,,,Gorge Spring-Run Chinook,,,,,,,,,Lisa Harlan,Lisa.Harlan@dfw.wa.gov,12/05/2014 05:04:19 PM
1496,Grays/Chinook Fall (Tule) Chinook,Chinook,Lower Columbia River Chinook,Threatened,03/24/1999 12:00:00 AM,Lower Columbia River,,,,,Coastal Fall-Run Chinook,"Recovery goal = 1,400 spawners.  Max. recovery exploitation rate = 42%.  Minimum natural EG = 200.",Ref 1:Table 3;Ref 17;Ref 16,Includes Chinook River,"This is a mixed stock with wild production. A native population of fall chinook existed in the Grays River prior to the construction of Grays River Hatchery in 1960. Until recently, a significant portion of the fall chinook spawners in the Grays River were hatchery strays. The fall chinook program at the Grays River Hatchery ended in 1998. The present population is a probably mix of native and hatchery-origin fish with life history characteristics common to those of other lower Columbia River tule fall chinook stocks.",Grays/Chinook fall chinook were identified as a stock based on their distinct spawning distribution.,"Data are total escapement estimates based on annual peak live plus dead spawner counts from the Grays River Hatchery (RM 1.4 on the West Fork Grays River) downstream to the Covered Bridge (RM 10.8), a distance of 3.6 miles.",Most spawning occurs from the covered bridge (RM 8.6) on the mainstem upstream to the Grays River Hatchery on the West Fork Grays River (RM 1.4).,No genetic analysis has been done on Grays River fall chinook.,Jeremy Wilson,Jeremy.Wilson@dfw.wa.gov,12/05/2014 05:04:19 PM
1469,Satsop Fall Chinook,Chinook,Washington Coast Chinook,Not Warranted,03/09/1998 12:00:00 AM,Washington Coastal,,,,,No MPG Specified,"EG = 3,423.  EG for all Chehalis basin fall Chinook stocks combined = 12,364.",,"Stock-specific goal being re-examined, subject to change","This is a native stock with composite production. Although there have been extensive releases of nonnative fall hatchery Chinook including Humptulips, Willapa Bay, Puget Sound, Columbia River and Oregon coastal stocks, into the Satsop basin since 1952, genetic evidence from the East Fork Satsop River stock indicates a more native profile. There is no lingering evidence of Puget Sound Chinook genetic contribution in the East Fork Satsop River stock sampled. The Oregon and Columbia River stock releases were minor, and no genetic evidence of their contribution has been found (Meyers et al. 1998).  Hybridization with the native stock has apparently been insignificant (Marshall 2002).","Satsop fall Chinook were identified as a stock based on their distinct spawning distribution, later river entry timing (begins in early October) and spawning timing.","Data are total escapement estimates based on redd counts within intensive and supplemental index areas and expanded to basin-wide totals. Index areas surveyed include the mainstem Satsop River (RM 2.5 to 6.3--supplemental and RM 6.3 to 11.0), East Fork Satsop River (RM 11.0 to 12.4, RM 12.4 to 14.7 and RM 14.7 to 17.5--supplemental). Adults trapped and placed upstream above the Bingham hatchery complex located at the confluence of the East Fork Satsop and Bingham Creek (RM 17.5) and those fish collected at the Bingham Creek Trap (RM 0.9) were included in the escapement estimate. Surveyed tributaries include Black, Canyon, Decker, Dry Run and Bingham creeks as well as unnamed tributary 22.0459.","Most spawning takes place in the mainstem Satsop River, Canyon River and the east and west forks of the Satsop River. Spawning also occurs in Bingham, Decker and Black creeks as well as unnamed tributaries 22.0366 and 22.0372.",East Fork Satsop River fall Chinook spawners sampled in 1993 were found to be significantly different from those of other Washington Chinook stocks examined. They were genetically most similar to other south Washington coast fall-run stocks. Fall Chinook in other Satsop Basin areas have not been sampled (Marshall 2002).,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,12/08/2015 05:18:34 PM
1508,Elochoman/Skamokawa Fall (Tule) Chinook,Chinook,Lower Columbia River Chinook,Threatened,03/24/1999 12:00:00 AM,Lower Columbia River,,,,,Coastal Fall-Run Chinook,"Recovery goal = 1,400 spawners.  Max. recovery exploitation rate=42%.  Interim min. natural EG=300 for Elochoman,  No goal established for Skamokawa.  Hatchery broodstock goal=1,289 (Elochoman Hatchery).",Ref 1:Table 3;Ref 17;Ref 16,,"This is a mixed stock with composite production and is similar in life history to other tule fall chinook stocks in the lower Columbia. Currently a significant portion of the naturally spawning chinook in Skamokawa Creek are hatchery strays (Harlan 1999).  A native fall chinook population existed in the Elochoman prior to the construction of the Elochoman Hatchery in 1953. Since then most natural spawners have been excess hatchery fish passed above the hatchery rack. In 1997, 82% of naturally spawning chinook in the Elochoman were hatchery-origin fish (Harlan 1999).",Elochoman/Skamokawa fall chinook were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates based on annual peak live plus dead spawner counts from the confluence of Standard and McDonald creeks (RM 6.6) downstream to Wilson Creek (RM 2.1) plus total  annual peak live plus dead spawner counts from the Elochoman Hatchery (RM 9.4) downstream to the Foster Road bridge (RM 3.4).,Most spawning in Skamokawa Creek takes place in a 4.5- mile stretch of water from Wilson Creek upstream to Standard and MacDonald creeks.  Most spawning in the mainstem Elochoman takes place between RM 4 and 9.,"No genetic analysis has been done on Skamokawa Creek fall chinook.  Samples of Elochoman fall chinook spawners were taken in 1995 and 1997. Marked Rogue River (Oregon) chinook from net pen releases have been found in the Elochoman River, and 23 were included in the 1995 sample. When known Rogue River fish were removed from the sample, allozyme analysis showed that Elochoman chinook allele frequencies were similar to but distinct from those of other Columbia River chinook. Some introgression with Rogue River fish may have occurred (Marshall et al. 1995).",Jeremy Wilson,Jeremy.Wilson@dfw.wa.gov,12/05/2014 05:04:19 PM
1557,Lower Cowlitz Fall (Tule) Chinook,Chinook,Lower Columbia River Chinook,Threatened,03/24/1999 12:00:00 AM,Lower Columbia River,,,,,Cascade Fall-Run Chinook,"Recovery goal = 2,300 spawners.  Max. recovery exploitation rate=42%.  Interim min. natural EG=3,000.  Hatchery broodstock goal=2,600 (Cowlitz Salmon Hatchery).",Ref 1:Table 3;Ref 17;Ref 16,Goal applies below the dams,"This is a mixed stock with composite production and is similar in life history to other tule fall chinook stocks in the lower Columbia. Fall chinook are native to the Cowlitz watershed. Spawners are a mixture of native and hatchery-origin fish but are mostly strays from Cowlitz Salmon Hatchery (DeVore 1987). Historically hatchery broodstock have been mostly native Cowlitz fall chinook. However four non-native plants of juvenile chinook occurred between 1951 and 1981, including Toutle (1952 and 1968), Kalama (1971) and Big Creek, Kalama and Bonneville (1981).",Lower Cowlitz Fall Chinook were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates based on annual peak redd counts from the barrier dam at the Cowlitz Salmon Hatchery (~ RM 50) downstream to Kelso Bridge (RM 4.9).,"Historically, the native run spawned throughout the watershed from the river mouth upriver into tributaries as far as Ohanapecosh and Tilton rivers. However, with the construction of Mayfield Dam (1962), spawning is now limited to mainstem waters below the dam.","No genetic analysis has been done on naturally spawning Cowlitz fall chinook.  Allozyme analysis of Cowlitz Hatchery fall chinook sampled in 1981, 1982 and 1988 showed that they were similar to, but distinct from, Kalama hatchery fall chinook and distinct from all other Washington chinook examined (WDF and WDW 1993).",Jeremy Wilson,Jeremy.Wilson@dfw.wa.gov,12/05/2014 05:04:19 PM
1560,Coweeman Fall (Tule) Chinook,Chinook,Lower Columbia River Chinook,Threatened,03/24/1999 12:00:00 AM,Lower Columbia River,,,,,Cascade Fall-Run Chinook,"Recovery goal = 3,600 spawners.  Max. recovery exploitation rate=42%.  Interim min. natural EG=1,000.",Ref 1:Table 3;Ref 17;Ref 16,,"This is a native stock with wild production. In the 1992 SASSI, Coweeman fall chinook were characterized as being of mixed native and non-native origin with composite production based on a history of releases of Spring Creek, Washougal and Toutle hatchery chinook between 1951 and 1979.  However, more recent analysis (Myers et al. 2002) indicates that Coweeman fall chinook are not especially similar to any existing lower Columbia River Hatchery chinook stock and are the most distinctive of the Washington lower Columbia tule fall chinook stocks.",Coweeman fall chinook were identified as a stock based on their distinct spawning distribution and genetic composition. This population is one of two tule populations without a history of significant hatchery influence and is considered a genetic legacy population. This population has historically been used as an indicator stock for the calculation of fishery impacts on lower Columbia River fall Chinook.,"Data are total escapement estimates based on annual peak live plus dead spawner counts from the mouth of Mulholland Creek downstream to the Jeep Club Bridge (Libby Road Bridge), a distance of about six miles.",Most spawning occurs from the Jeep Club bridge upstream to Mulholland Creek.,"Allozyme analysis of Coweeman fall chinook spawners sampled in 1996 and 1997 showed that they are significantly different from all other Columbia Basin chinook stocks examined, including lower Columbia River hatchery fall chinook such as Cowlitz (Myers et al. 2002).",Jeremy Wilson,Jeremy.Wilson@dfw.wa.gov,12/16/2014 05:52:09 PM
1592,Kalama Spring Chinook,Chinook,Lower Columbia River Chinook,Threatened,03/24/1999 12:00:00 AM,Lower Columbia River,,,,,Cascade Spring-Run Chinook,"Recovery goal = 1,400 spawners.  Min. natural EG=500.  Hatchery broodstock goal=400 (Kalama Falls Hatchery).",Ref 1:Table 3,,"This is a mixed stock with composite production. The current stock is composed of fish that are surplus to the needs of hatchery production. Hatchery broodstock has been released into the Kalama from a variety of sources including Eagle Creek (Oregon), Willamette (Oregon), Cowlitz and Little White Salmon rivers, although the hatchery broodstock is still about 88% native (Myers et al. 2002), and genetic analysis has shown them to be distinct from Willamette and other lower Columbia spring chinook stocks.","Kalama spring chinook were identified as a stock based on their distinct spawning distribution, spawning timing, and genetic composition.",Data are total escapement estimates based on annual peak live plus dead spawner counts from lower Kalama Falls (RM 10.4) downstream to the sinkhole at RM 5.3.,"Most spawning occurs between the Fallert Creek Hatchery (RM 4.9) and lower Kalama Falls (RM 10.4). Since the completion of the Kalama Falls Hatchery (1959) at the lower falls, some spring chinook are now passed above the lower falls into the upper watershed. Most spawning in the upper watershed occurs from the Kalama Falls Hatchery to about RM 20, although some spawners go as far as upper Kalama Falls (RM 36.8).","No analysis has been done on naturally spawning Kalama spring chinook. Allozyme analysis of Kalama Hatchery spring chinook sampled in 1990 showed that they are relatively similar to, but genetically distinct from, Cowlitz Hatchery and Lewis spring chinook and are distinct from all other Columbia Basin spring chinook (Marshall et al. 1995).",Lisa Harlan,Lisa.Harlan@dfw.wa.gov,10/28/2014 08:06:22 AM
1073,Upper Gorge (Columbia) Late Fall (Bright) Chinook,Chinook,Upper Columbia River Summer and Fall Run Chinook,Not Warranted,03/09/1998 12:00:00 AM,Lower Columbia River,,,,,,,,,,,,,,Jeremy Wilson,Jeremy.Wilson@dfw.wa.gov,12/05/2014 05:04:19 PM
1656,Big White Salmon River Fall (Tule) Chinook,Chinook,Lower Columbia River Chinook,Threatened,03/24/1999 12:00:00 AM,Lower Columbia River,,,,,Gorge Fall-Run Chinook,Recovery goal = 900 spawners.  No natural EG established,Ref 1:Table 3;Ref 17,Assume this goal does not include White Salmon brights (introduced).  Not in ESU.,This is a mixed stock with composite production. The White Salmon River tule fall chinook stock is represented both in wild spawners and in local hatchery programs. Tule fall chinook are native to the White Salmon River. They were used as broodstock to create the Spring Creek Hatchery tule fall chinook program in 1901. Spring Creek fish have been recovered in the White Salmon River.,"White Salmon River tule fall chinook were identified as a stock based on their distinct spawning distribution, spawning timing, appearance (dark color and pale flesh on freshwater entry characteristic",Data are total escapement estimates based on peak live plus dead spawner counts from the Condit Dam powerhouse (RM 3.3) downstream to the confluence with the Columbia River. Data usefulness for rating stock status is poor because of poor visibility in the river during fall chinook surveys.,Spawning is confined to the lower three miles of mainstem White Salmon River below Condit Dam.,No genetic analysis has been done on White Salmon River tule fall chinook.,Jeremy Wilson,Jeremy.Wilson@dfw.wa.gov,12/05/2014 05:04:19 PM
1664,Big White Salmon River Late Fall (Bright) Chinook,Chinook,Upper Columbia River Summer and Fall Run Chinook,Not Warranted,03/09/1998 12:00:00 AM,Lower Columbia River,,,,,,No natural EG established,Ref 17,Stock comprises stray hatchery and naturally-produced up-river brights historically not present in the Big White Salmon or Little White Salmon..,This is a non-native stock with composite production. White Salmon River bright fall chinook appear to be derived from upriver bright fall chinook from the Little White Salmon National Fish Hatchery.,"White Salmon River bright fall chinook were identified as a stock based on their distinct spawning distribution, spawning timing, appearance (chrome-bright color and red flesh on freshwater entry characteristic of bright fall chinook) and age composition (five-year old spawners predominate).",Data are total escapement estimates based on live plus dead spawner counts from the Condit Dam powerhouse (RM 3.3) downstream to the confluence with the Columbia River. Data usefulness for rating stock status is poor because of poor visibility in the river during fall chinook surveys.,Spawning is confined to the lower three miles of the mainstem White Salmon River below Condit Dam.,No genetic samples have been taken from natural spawners with later fall spawning timing in the White Salmon River.,Jeremy Wilson,Jeremy.Wilson@dfw.wa.gov,03/01/2016 12:00:00 AM
1672,Klickitat Spring Chinook,Chinook,Mid-Columbia River Spring Run Chinook,Not Warranted,03/09/1998 12:00:00 AM,Middle Columbia River,,,,,Mid-Columbia Spring-Run Chinook,"Natural escapement goal ranges (5,000 to 10,000 total return)* 0.5= 2,500 to 5,000 short-term natural escapement; recent average is 1,900 total return * 0.5= 950 natural escapement",Ref 8,,"This is a mixed stock with composite production. Spring Chinook are native to the Klickitat. However, there is long history of hatchery releases, using non-native stocks such as Carson, Willamette and Cowlitz Chinook. The current Klickitat Hatchery spring Chinook program releases 200,000 spring Chinook fingerlings and 600,000 yearlings annually.",Klickitat spring Chinook were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates based on redd counts from float surveys from the WDFW Klickitat Hatchery downstream to Twin Bridges.,Most spawning takes place in the mainstem from Parott`s Bridge (RM 40) upstream to McCormick Meadows (RM 80). Spawning is concentrated from RM 60.7 up to Castile Falls (RM 64.2).,Allozyme analysis of Klickitat spring Chinook sampled from 1990 to 1993 has shown that they are genetically distinct from other Chinook stocks in the Columbia River basin (Meyers et al. 1998). They are most similar to Lewis spring Chinook (Marshall et al. 1995).,Lisa Harlan,Lisa.Harlan@dfw.wa.gov,10/28/2014 08:06:22 AM
1680,Klickitat Fall (Tule) Chinook,Chinook,Upper Columbia River Summer and Fall Run Chinook,Not Warranted,03/09/1998 12:00:00 AM,Middle Columbia River,,,,,Eastern Cascades Fall-Run Chinook,No natural EG established,Ref 8:Appendix F,Not managed for natural tule fall Chinook escapement,"This is a non-native stock with wild production. Fall Chinook are not native to the Klickitat River and did not appear prior to the first fall Chinook plants in 1946. Lyle Falls probably acted as a barrier during the late summer and early fall when stream flow is low in the Klickitat, and fall Chinook are migrating. Hatchery releases of tule fall Chinook ceased in 1986. Only bright fall Chinook have been released from Klickitat Hatchery since 1986.",Klickitat tule fall Chinook was identified as a stock based on their distinct spawning distribution and run timing.,Data are total escapement estimates based on peak live plus dead spawner counts from the Klickitat Hatchery to Twin Bridges. Data usefulness for rating stock status is poor because of poor visibility in the river during fall Chinook surveys.,"Most spawning takes place from the Twin Bridges upstream to the Klickitat Hatchery, a distance of about 25.9 miles.","Allozyme analysis of fall Chinook sampled in 1991 through 1993 at the of year when tule fall Chinook would be expected to be present in the watershed (early fall or ""summer"" Chinook) showed them be more similar to Hanford Reach fall Chinook (an up-river bright fall Chinook stock) than to tule fall Chinook (Marshall et al. 1995). This result may reflect a mixed-stock origin.",Jeremy Wilson,Jeremy.Wilson@dfw.wa.gov,12/05/2014 05:04:19 PM
